epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,260.517,2.43693,2.87366,2.1561,0.30178,0.52296,0.26383,0.08027,2.52906,10.7092,2.37723,0.000553251,0.000553251,0.000553251
2,625.719,2.38249,2.20953,2.16822,0.52406,0.46068,0.50504,0.15973,2.4091,2.21877,2.21411,0.00110343,0.00110343,0.00110343
3,886.752,2.38906,2.3098,2.11635,0.67501,0.48505,0.46567,0.15302,2.31926,2.44449,2.14658,0.0016481,0.0016481,0.0016481
4,1163.46,2.28566,2.10922,2.09422,0.56534,0.46701,0.46751,0.17385,2.34646,2.10293,2.14156,0.00164225,0.00164225,0.00164225
5,1429.36,2.27776,1.90991,2.04667,0.45587,0.43349,0.36043,0.11934,2.27054,5.29098,2.06814,0.00163399,0.00163399,0.00163399
6,1756.07,2.27633,1.87565,2.02537,0.54239,0.51672,0.53231,0.18565,2.2891,1.76492,2.06494,0.00162574,0.00162574,0.00162574
7,2037.34,2.21378,1.77897,1.9706,0.6055,0.50055,0.58034,0.21801,2.22587,1.6052,2.03094,0.00161749,0.00161749,0.00161749
8,2310.02,2.14348,1.75219,1.94287,0.68328,0.65405,0.69061,0.25582,2.13159,1.53829,1.97911,0.00160924,0.00160924,0.00160924
9,2573.4,2.10177,1.6046,1.89227,0.7019,0.60331,0.68719,0.24403,2.2273,1.47248,2.0971,0.00160099,0.00160099,0.00160099
10,2840.45,2.15019,1.60464,1.96628,0.76946,0.60666,0.69135,0.28985,2.07021,1.46709,1.92894,0.00159274,0.00159274,0.00159274
11,3131.55,2.06123,1.56652,1.88051,0.68691,0.5647,0.64773,0.24866,2.14646,1.53556,1.98409,0.00158448,0.00158448,0.00158448
12,3409.3,2.06522,1.50409,1.87741,0.81715,0.69429,0.76087,0.30236,2.11536,1.30862,1.95376,0.00157623,0.00157623,0.00157623
13,3669.87,2.05204,1.45113,1.86031,0.69308,0.70877,0.74144,0.28322,2.11651,1.39399,1.93691,0.00156798,0.00156798,0.00156798
14,3934.32,2.046,1.44512,1.82951,0.75349,0.65757,0.71538,0.27789,2.10792,1.37822,1.94372,0.00155973,0.00155973,0.00155973
15,4192.6,1.99441,1.31944,1.80435,0.78064,0.71778,0.75964,0.3136,2.05019,1.27697,1.92123,0.00155148,0.00155148,0.00155148
16,4451.55,2.02585,1.29709,1.84625,0.7691,0.71812,0.75196,0.29047,2.1805,1.27908,1.97799,0.00154323,0.00154323,0.00154323
17,4705.15,1.94685,1.31548,1.78134,0.79387,0.78572,0.81585,0.33696,2.05867,1.17592,1.89759,0.00153497,0.00153497,0.00153497
18,4982.45,1.97665,1.25656,1.80161,0.83224,0.74673,0.80887,0.3265,2.14364,1.18076,1.95688,0.00152672,0.00152672,0.00152672
19,5258.27,1.99432,1.24603,1.80599,0.79562,0.75343,0.80048,0.31918,2.09883,1.16305,1.93904,0.00151847,0.00151847,0.00151847
20,5522.06,1.99343,1.30616,1.82238,0.72461,0.71161,0.74163,0.27831,2.19349,1.24484,1.96073,0.00151022,0.00151022,0.00151022
21,5777.48,1.96112,1.21627,1.82137,0.81278,0.76727,0.79819,0.31798,2.05933,1.18773,1.91548,0.00150197,0.00150197,0.00150197
22,6054.43,1.97389,1.2102,1.79358,0.83495,0.79056,0.81928,0.35924,2.06481,1.1186,1.89757,0.00149372,0.00149372,0.00149372
23,6314.74,1.96985,1.22743,1.80154,0.78428,0.77615,0.81277,0.32024,2.15654,1.1783,1.94297,0.00148546,0.00148546,0.00148546
24,6566.79,1.89894,1.19398,1.75005,0.86509,0.74047,0.82456,0.32775,2.07559,1.093,1.91826,0.00147721,0.00147721,0.00147721
25,6839.95,1.89091,1.15664,1.74586,0.86199,0.74617,0.81755,0.32912,2.10954,1.09404,1.92557,0.00146896,0.00146896,0.00146896
26,7130.41,1.91417,1.13771,1.73271,0.83486,0.80752,0.83598,0.34448,2.07735,1.1066,1.91927,0.00146071,0.00146071,0.00146071
27,7394.81,1.87949,1.11926,1.75772,0.83578,0.83059,0.84347,0.35514,2.10312,1.04193,1.92129,0.00145246,0.00145246,0.00145246
28,7651,1.87854,1.11844,1.76391,0.83751,0.76815,0.82282,0.34582,2.06425,1.07203,1.89651,0.00144421,0.00144421,0.00144421
29,7918.18,1.87329,1.1028,1.71694,0.85771,0.81717,0.85371,0.35791,2.0819,0.98828,1.91297,0.00143595,0.00143595,0.00143595
30,8201.65,1.86231,1.06906,1.73428,0.86907,0.78569,0.83894,0.35141,2.05663,1.02331,1.89962,0.0014277,0.0014277,0.0014277
31,8475.73,1.85068,1.09033,1.75746,0.85299,0.79009,0.84206,0.36352,2.06463,1.01077,1.89454,0.00141945,0.00141945,0.00141945
32,8760.45,1.83121,1.05016,1.75435,0.8285,0.80081,0.83332,0.35241,2.07317,1.05469,1.90451,0.0014112,0.0014112,0.0014112
33,9031.89,1.87594,1.05622,1.72594,0.80039,0.78353,0.80656,0.32943,2.08563,1.0828,1.93055,0.00140295,0.00140295,0.00140295
34,9320.2,1.84029,1.04197,1.71161,0.83395,0.83298,0.85873,0.35211,2.05106,0.99939,1.90833,0.0013947,0.0013947,0.0013947
35,9582.42,1.85977,1.04707,1.69917,0.89779,0.84111,0.88522,0.38075,2.03661,0.97581,1.88172,0.00138644,0.00138644,0.00138644
36,9873,1.82209,0.99626,1.68678,0.87293,0.81674,0.86927,0.34691,2.1063,0.99136,1.92292,0.00137819,0.00137819,0.00137819
37,10143.4,1.82967,1.06064,1.68128,0.86716,0.84843,0.88871,0.38827,2.01206,0.95064,1.84827,0.00136994,0.00136994,0.00136994
38,10425.9,1.79581,1.0056,1.67113,0.87855,0.81172,0.85777,0.36458,2.07127,1.03853,1.89851,0.00136169,0.00136169,0.00136169
39,10680.1,1.76152,0.97823,1.6499,0.85613,0.78258,0.83641,0.37118,2.05242,0.95629,1.92385,0.00135344,0.00135344,0.00135344
40,10931.7,1.81181,0.95364,1.68259,0.8546,0.84213,0.8545,0.37103,2.06705,0.92712,1.89885,0.00134519,0.00134519,0.00134519
41,11211.8,1.76512,0.93551,1.64169,0.88293,0.81402,0.85996,0.36912,2.07709,0.92738,1.91658,0.00133693,0.00133693,0.00133693
42,11507.7,1.75591,0.91726,1.64083,0.87205,0.80595,0.86719,0.38007,2.07985,0.92778,1.89266,0.00132868,0.00132868,0.00132868
