epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.8191,2.38873,3.08002,1.97995,0.01504,0.46431,0.01521,0.00543,2.34197,inf,2.40714,0.000550835,0.000550835,0.000550835
2,69.8941,2.27183,1.96994,2.00096,0.05773,0.37158,0.03341,0.01201,2.49657,25.6292,2.63334,0.00110102,0.00110102,0.00110102
3,106.232,2.27886,1.90963,2.02598,0.4545,0.33323,0.33454,0.10214,2.48026,2.39415,2.26897,0.00164571,0.00164571,0.00164571
4,142.551,2.26381,1.85565,2.00662,0.69977,0.56162,0.63641,0.23054,2.2996,1.61062,2.11444,0.00164225,0.00164225,0.00164225
5,177.734,2.18842,1.62008,1.94583,0.73296,0.59463,0.63334,0.21287,2.31565,1.62834,2.13054,0.00163399,0.00163399,0.00163399
6,211.441,2.18081,1.56936,1.93958,0.66542,0.61808,0.6732,0.25171,2.13728,1.59988,2.01455,0.00162574,0.00162574,0.00162574
7,246.258,2.09699,1.56274,1.90684,0.74885,0.66127,0.72339,0.263,2.17458,1.38014,2.01447,0.00161749,0.00161749,0.00161749
8,281.057,2.09447,1.46323,1.87467,0.73415,0.6195,0.669,0.22942,2.20585,1.47303,2.01086,0.00160924,0.00160924,0.00160924
9,314.607,2.06167,1.39345,1.85364,0.73161,0.66774,0.69324,0.24688,2.19981,1.45571,2.0468,0.00160099,0.00160099,0.00160099
10,348.154,2.09045,1.32968,1.84055,0.76613,0.66034,0.71013,0.26504,2.10829,1.38501,1.9498,0.00159274,0.00159274,0.00159274
11,381.843,2.02114,1.32947,1.8389,0.76587,0.68296,0.70739,0.24398,2.25236,1.49457,2.05284,0.00158448,0.00158448,0.00158448
12,415.215,1.96562,1.25724,1.80182,0.80083,0.75701,0.78232,0.3162,2.1436,1.25085,1.97614,0.00157623,0.00157623,0.00157623
13,449.938,1.98399,1.26253,1.79639,0.80039,0.72597,0.77987,0.30995,2.12955,1.24203,1.97555,0.00156798,0.00156798,0.00156798
14,483.41,2.01328,1.29301,1.8149,0.80385,0.70037,0.76894,0.30181,2.144,1.22388,1.97047,0.00155973,0.00155973,0.00155973
15,516.989,1.991,1.24144,1.79826,0.77558,0.73768,0.79562,0.29653,2.11174,1.2393,1.96094,0.00155148,0.00155148,0.00155148
16,550.994,1.96992,1.21775,1.83509,0.78235,0.77042,0.78672,0.32739,2.03893,1.12335,1.89763,0.00154323,0.00154323,0.00154323
17,586.08,1.93021,1.16805,1.76542,0.80714,0.73477,0.7818,0.29732,2.17015,1.18095,1.99501,0.00153497,0.00153497,0.00153497
18,619.881,1.96056,1.19504,1.77101,0.81479,0.73916,0.78922,0.30518,2.13729,1.18074,1.96879,0.00152672,0.00152672,0.00152672
19,653.827,1.94351,1.16224,1.76097,0.84319,0.7817,0.8372,0.32996,2.07205,1.1414,1.93972,0.00151847,0.00151847,0.00151847
20,688.891,1.95689,1.14516,1.80279,0.84099,0.76852,0.8227,0.34467,2.06548,1.09002,1.90117,0.00151022,0.00151022,0.00151022
